Wall time,Step,Value
1751243196.7147589,10000,-128148.484375
1751243209.8826501,20000,-107855.125
1751243221.654912,30000,-120775.09375
1751243233.0765078,40000,-54701.98046875
1751243255.53833,50000,-126075.359375
1751243269.696367,60000,-144149.625
1751243284.889857,70000,-141311.921875
1751243300.879581,80000,-119855.6171875
1751243312.52657,90000,-99811.15625
1751243325.431641,100000,-85933.234375
1751243337.446683,110000,-116953.6171875
1751243348.482385,120000,-85109.7109375
1751243360.527843,130000,-110504.1640625
1751243388.764277,140000,-97327.6171875
1751243404.9256032,150000,-111165.4609375
1751243418.1514251,160000,-61545.85546875
1751243429.512197,170000,-34576.8984375
1751243440.0026932,180000,-38479.1171875
1751243451.322937,190000,-36525.56640625
1751243462.6462982,200000,-42637.2421875
1751243473.4834108,210000,-41643.88671875
1751243484.5704992,220000,-41128.23046875
1751243495.861684,230000,-39792.17578125
1751243506.6562848,240000,-39641.05859375
1751243517.756861,250000,-34413.3984375
1751243528.021951,260000,-38079.30859375
1751243539.938966,270000,-37702.71875
1751243552.6738381,280000,-36712.33984375
1751243565.1451619,290000,-44670.50390625
1751243576.8671849,300000,-35058.59375
1751243587.6486988,310000,-36640.89453125
1751243598.6767092,320000,-32479.943359375
1751243611.140077,330000,-37499.28125
1751243626.102645,340000,-41429.28125
1751243637.578439,350000,-34526.4296875
1751243650.7084749,360000,-36338.9140625
1751243662.9966688,370000,-34558.62890625
1751243675.3649259,380000,-37165.41796875
1751243690.4436722,390000,-37924.78125
1751243703.2523031,400000,-34778.5078125
1751243714.3545501,410000,-37153.52734375
1751243729.5168252,420000,-34274.69921875
1751243745.012984,430000,-35856.484375
1751243757.6927328,440000,-32348.97265625
1751243768.792417,450000,-39212.25390625
1751243780.24735,460000,-43707.14453125
1751243790.871383,470000,-38962.43359375
1751243801.3552818,480000,-41882.67578125
1751243812.269706,490000,-42350.23046875
1751243824.9366632,500000,-37680.06640625
1751243835.809988,510000,-34646.7265625
1751243845.579732,520000,-36484.578125
1751243856.2655401,530000,-38780.85546875
1751243869.568667,540000,-42018.203125
1751243881.785943,550000,-36060.421875
1751243892.9268951,560000,-35629.2265625
1751243903.844598,570000,-34105.87890625
1751243914.51885,580000,-37713.48046875
1751243925.517357,590000,-40836.125
1751243936.43633,600000,-35995.05078125
1751243948.0463412,610000,-39336.390625
1751243958.4498088,620000,-30858.755859375
1751243969.308199,630000,-36591.078125
1751243980.1040618,640000,-34160.2890625
1751243991.4551659,650000,-35966.9140625
1751244003.796106,660000,-31168.73828125
1751244014.570833,670000,-34989.1796875
1751244025.577021,680000,-36331.234375
1751244036.254175,690000,-31935.357421875
1751244047.6469078,700000,-38866.67578125
1751244059.009133,710000,-40152.59765625
1751244070.128482,720000,-36169.66015625
1751244081.2383559,730000,-38211.4140625
1751244092.230644,740000,-38363.078125
1751244103.3079638,750000,-40668.37890625
1751244114.485539,760000,-42844.99609375
1751244125.273538,770000,-40379.90625
1751244136.769898,780000,-37896.55078125
1751244155.235147,790000,-34482.5703125
1751244169.1876101,800000,-30997.234375
1751244184.0155048,810000,-35793.6328125
1751244196.354479,820000,-32426.796875
1751244209.1083488,830000,-39677.07421875
1751244222.318445,840000,-44488.8125
1751244234.4867048,850000,-35365.86328125
1751244246.845031,860000,-35471.296875
1751244260.29707,870000,-36736.8984375
1751244273.443509,880000,-38066.65234375
1751244285.315667,890000,-33510.34765625
1751244299.412208,900000,-42621.73046875
1751244323.3860748,910000,-37659.546875
1751244336.225568,920000,-33790.28125
1751244350.955746,930000,-35841.58984375
1751244363.11358,940000,-35049.79296875
1751244374.881088,950000,-33745.6484375
1751244387.280381,960000,-36563.765625
1751244399.470755,970000,-37862.57421875
1751244411.3668869,980000,-37619.46875
1751244423.1332228,990000,-38796.25390625
1751244434.8040278,1000000,-35929.43359375
1751244447.064291,1010000,-39947.9375
1751244461.3077571,1020000,-43307.83984375
1751244473.938498,1030000,-31925.009765625
1751244485.979722,1040000,-42303.703125
1751244497.9975932,1050000,-40711.5703125
1751244510.4419,1060000,-35802.46875
1751244525.4396942,1070000,-42277.26171875
1751244539.095604,1080000,-36063.51171875
1751244554.365437,1090000,-43304.77734375
1751244566.1291049,1100000,-33688.57421875
1751244576.910309,1110000,-38106.296875
1751244588.6184802,1120000,-37709.40234375
1751244600.955182,1130000,-35970.43359375
1751244613.391516,1140000,-43279.15625
1751244625.056351,1150000,-37058.09375
1751244636.6615958,1160000,-38815.44921875
1751244648.641373,1170000,-35542.43359375
1751244661.0663302,1180000,-39353.94921875
1751244674.181386,1190000,-35366.0625
1751244685.2297301,1200000,-33953.88671875
1751244703.734807,1210000,-30758.685546875
1751244717.4257321,1220000,-33619.546875
1751244729.844647,1230000,-37166.4921875
1751244742.8768141,1240000,-37661.66015625
1751244757.299702,1250000,-35659.72265625
1751244770.01772,1260000,-39320.78125
1751244782.361293,1270000,-31728.001953125
1751244794.265687,1280000,-38070.97265625
1751244806.6674519,1290000,-39324.9609375
1751244819.078696,1300000,-30990.046875
1751244831.85452,1310000,-40294.02734375
1751244844.250622,1320000,-30766.12109375
1751244856.113471,1330000,-36744.18359375
1751244867.756522,1340000,-29910.994140625
1751244879.44707,1350000,-35416.921875
1751244892.320079,1360000,-32123.841796875
1751244904.424774,1370000,-39696.046875
1751244915.88626,1380000,-32976.58984375
1751244927.35037,1390000,-38289.35546875
